sample_id,group,target_depth,replicate,spearman_rho
EE87814,Breast cancer,10000000,15,0.8546580751738254
EE87814,Breast cancer,10000000,16,0.8345774582747619
EE87814,Breast cancer,10000000,17,0.8553606068936048
EE87814,Breast cancer,10000000,18,0.8329459692201867
EE87814,Breast cancer,10000000,19,0.8422642040384014
EE87814,Breast cancer,5000000,0,0.7567519707488849
EE87814,Breast cancer,5000000,1,0.693191532880569
EE87814,Breast cancer,5000000,2,0.7162162597893993
EE87814,Breast cancer,5000000,3,0.7362408246243992
EE87814,Breast cancer,5000000,4,0.7015114268563004
EE87814,Breast cancer,5000000,5,0.7145480970265063
EE87814,Breast cancer,5000000,6,0.7093202982701551
EE87814,Breast cancer,5000000,7,0.6810641482788137
EE87814,Breast cancer,5000000,8,0.7462332027287619
EE87814,Breast cancer,5000000,9,0.7433347750921402
EE87814,Breast cancer,5000000,10,0.7134162620432332
EE87814,Breast cancer,5000000,11,0.7538793951387542
EE87814,Breast cancer,5000000,12,0.7468724920704216
EE87814,Breast cancer,5000000,13,0.7003240700329998
EE87814,Breast cancer,5000000,14,0.7098193009893957
EE87814,Breast cancer,5000000,15,0.7421419368118805
EE87814,Breast cancer,5000000,16,0.7454319721772681
EE87814,Breast cancer,5000000,17,0.736168051582961
EE87814,Breast cancer,5000000,18,0.722782708772926
EE87814,Breast cancer,5000000,19,0.7364508350405641
EE87814,Breast cancer,2000000,0,0.5568999595417277
EE87814,Breast cancer,2000000,1,0.529802711202599
EE87814,Breast cancer,2000000,2,0.5644883908081997
EE87814,Breast cancer,2000000,3,0.5712625488829093
EE87814,Breast cancer,2000000,4,0.5809622424840024
EE87814,Breast cancer,2000000,5,0.6068321395558419
EE87814,Breast cancer,2000000,6,0.6025860498452702
EE87814,Breast cancer,2000000,7,0.6269831316648631
EE87814,Breast cancer,2000000,8,0.5685137975182362
EE87814,Breast cancer,2000000,9,0.531123594341896
EE87814,Breast cancer,2000000,10,0.5643038691880002
EE87814,Breast cancer,2000000,11,0.5820638675034816
