sample_id,group,filename,genome_build,data_type,assay,source_database,study
EE87840,Breast cancer,EE87840.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87841,Breast cancer,EE87841.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87842,Breast cancer,EE87842.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87843,Breast cancer,EE87843.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87844,Breast cancer,EE87844.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87845,Breast cancer,EE87845.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87846,Breast cancer,EE87846.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87847,Breast cancer,EE87847.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87848,Breast cancer,EE87848.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87849,Breast cancer,EE87849.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87850,Breast cancer,EE87850.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87851,Breast cancer,EE87851.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87852,Breast cancer,EE87852.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87853,Breast cancer,EE87853.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87854,Breast cancer,EE87854.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87855,Breast cancer,EE87855.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87856,Breast cancer,EE87856.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87857,Breast cancer,EE87857.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87858,Breast cancer,EE87858.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
